;paper;study;subject;species;distribution_inequality;effort_inequality;effort;partner_present;session;trial;sex
1;1;1;34_1;orangs;y;n;y;y;1;1;F
2;1;1;34_1;orangs;y;n;y;y;1;2;F
3;1;1;34_1;orangs;y;n;y;y;1;3;F
4;1;1;34_1;orangs;y;n;y;y;1;4;F
5;1;1;34_1;orangs;y;n;y;y;1;5;F
6;1;1;34_1;orangs;y;n;y;y;1;6;F
7;1;1;34_1;orangs;y;n;y;y;1;7;F
8;1;1;34_1;orangs;y;n;y;y;1;8;F
9;1;1;34_1;orangs;y;n;y;y;1;9;F
10;1;1;34_1;orangs;y;n;y;y;1;10;F
11;1;1;34_1;orangs;y;n;y;y;1;11;F
12;1;1;34_1;orangs;y;n;y;y;1;12;F
13;1;1;34_1;orangs;y;n;y;y;1;13;F
14;1;1;34_1;orangs;y;n;y;y;1;14;F
15;1;1;34_1;orangs;y;n;y;y;1;15;F
16;1;1;34_1;orangs;y;n;y;y;1;16;F
17;1;1;34_1;orangs;y;n;y;y;1;17;F
18;1;1;34_1;orangs;y;n;y;y;1;18;F
19;1;1;34_1;orangs;y;n;y;y;1;19;F
20;1;1;34_1;orangs;y;n;y;y;1;20;F
21;1;1;34_1;orangs;y;n;y;y;1;21;F
22;1;1;34_1;orangs;y;n;y;y;1;22;F
23;1;1;34_1;orangs;y;n;y;y;1;23;F
24;1;1;34_1;orangs;y;n;y;y;1;24;F
25;1;1;34_1;orangs;y;n;y;y;1;25;F
26;1;1;34_1;orangs;n;n;y;y;2;1;F
27;1;1;34_1;orangs;n;n;y;y;2;2;F
28;1;1;34_1;orangs;n;n;y;y;2;3;F
29;1;1;34_1;orangs;n;n;y;y;2;4;F
30;1;1;34_1;orangs;n;n;y;y;2;5;F
31;1;1;34_1;orangs;n;n;y;y;2;6;F
32;1;1;34_1;orangs;n;n;y;y;2;7;F
33;1;1;34_1;orangs;n;n;y;y;2;8;F
34;1;1;34_1;orangs;n;n;y;y;2;9;F
35;1;1;34_1;orangs;n;n;y;y;2;10;F
36;1;1;34_1;orangs;n;n;y;y;2;11;F
37;1;1;34_1;orangs;n;n;y;y;2;12;F
38;1;1;34_1;orangs;n;n;y;y;2;13;F
39;1;1;34_1;orangs;n;n;y;y;2;14;F
40;1;1;34_1;orangs;n;n;y;y;2;15;F
41;1;1;34_1;orangs;n;n;y;y;2;16;F
42;1;1;34_1;orangs;n;n;y;y;2;17;F
43;1;1;34_1;orangs;n;n;y;y;2;18;F
44;1;1;34_1;orangs;n;n;y;y;2;19;F
45;1;1;34_1;orangs;n;n;y;y;2;20;F
46;1;1;34_1;orangs;n;n;y;y;2;21;F
47;1;1;34_1;orangs;n;n;y;y;2;22;F
48;1;1;34_1;orangs;n;n;y;y;2;23;F
49;1;1;34_1;orangs;n;n;y;y;2;24;F
50;1;1;34_1;orangs;n;n;y;y;2;25;F
51;1;1;34_1;orangs;n;n;y;y;3;1;F
52;1;1;34_1;orangs;n;n;y;y;3;2;F
53;1;1;34_1;orangs;n;n;y;y;3;3;F
54;1;1;34_1;orangs;n;n;y;y;3;4;F
55;1;1;34_1;orangs;n;n;y;y;3;5;F
56;1;1;34_1;orangs;n;n;y;y;3;6;F
57;1;1;34_1;orangs;n;n;y;y;3;7;F
58;1;1;34_1;orangs;n;n;y;y;3;8;F
59;1;1;34_1;orangs;n;n;y;y;3;9;F
60;1;1;34_1;orangs;n;n;y;y;3;10;F
61;1;1;34_1;orangs;n;n;y;y;3;11;F
62;1;1;34_1;orangs;n;n;y;y;3;12;F
63;1;1;34_1;orangs;n;n;y;y;3;13;F
64;1;1;34_1;orangs;n;n;y;y;3;14;F
65;1;1;34_1;orangs;n;n;y;y;3;15;F
66;1;1;34_1;orangs;n;n;y;y;3;16;F
67;1;1;34_1;orangs;n;n;y;y;3;17;F
68;1;1;34_1;orangs;n;n;y;y;3;18;F
69;1;1;34_1;orangs;n;n;y;y;3;19;F
70;1;1;34_1;orangs;n;n;y;y;3;20;F
71;1;1;34_1;orangs;n;n;y;y;3;21;F
72;1;1;34_1;orangs;n;n;y;y;3;22;F
73;1;1;34_1;orangs;n;n;y;y;3;23;F
74;1;1;34_1;orangs;n;n;y;y;3;24;F
75;1;1;34_1;orangs;n;n;y;y;3;25;F
76;1;1;34_1;orangs;y;n;y;y;4;1;F
77;1;1;34_1;orangs;y;n;y;y;4;2;F
78;1;1;34_1;orangs;y;n;y;y;4;3;F
79;1;1;34_1;orangs;y;n;y;y;4;4;F
80;1;1;34_1;orangs;y;n;y;y;4;5;F
81;1;1;34_1;orangs;y;n;y;y;4;6;F
82;1;1;34_1;orangs;y;n;y;y;4;7;F
83;1;1;34_1;orangs;y;n;y;y;4;8;F
84;1;1;34_1;orangs;y;n;y;y;4;9;F
85;1;1;34_1;orangs;y;n;y;y;4;10;F
86;1;1;34_1;orangs;y;n;y;y;4;11;F
87;1;1;34_1;orangs;y;n;y;y;4;12;F
88;1;1;34_1;orangs;y;n;y;y;4;13;F
89;1;1;34_1;orangs;y;n;y;y;4;14;F
90;1;1;34_1;orangs;y;n;y;y;4;15;F
91;1;1;34_1;orangs;y;n;y;y;4;16;F
92;1;1;34_1;orangs;y;n;y;y;4;17;F
93;1;1;34_1;orangs;y;n;y;y;4;18;F
94;1;1;34_1;orangs;y;n;y;y;4;19;F
95;1;1;34_1;orangs;y;n;y;y;4;20;F
